iter	Passed	Remaining
415	3000	4212
416	3007	4205
417	3015	4198
418	3022	4191
419	3030	4184
420	3038	4178
421	3045	4171
422	3052	4163
423	3058	4155
424	3065	4147
425	3072	4140
426	3080	4134
427	3087	4126
428	3094	4118
429	3101	4111
430	3108	4104
431	3116	4097
432	3123	4090
433	3133	4086
434	3140	4079
435	3147	4071
436	3155	4064
437	3162	4057
438	3169	4049
439	3176	4042
440	3183	4035
441	3190	4027
442	3197	4020
443	3204	4012
444	3210	4004
445	3217	3996
446	3224	3989
447	3231	3982
448	3239	3975
449	3246	3968
450	3253	3959
451	3260	3953
452	3267	3945
453	3274	3938
454	3281	3931
455	3288	3923
456	3294	3915
457	3302	3907
458	3308	3899
459	3315	3892
460	3323	3885
461	3329	3877
462	3337	3870
463	3344	3863
464	3351	3855
465	3359	3849
466	3366	3841
467	3373	3834
468	3380	3827
469	3387	3819
470	3394	3813
471	3402	3805
472	3409	3799
473	3417	3792
474	3424	3785
475	3431	3777
476	3439	3771
477	3446	3763
478	3453	3755
479	3460	3748
480	3467	3741
481	3474	3733
482	3481	3726
483	3488	3719
484	3496	3712
485	3502	3704
486	3509	3697
487	3516	3689
488	3524	3682
489	3531	3675
490	3538	3667
491	3545	3661
492	3552	3653
493	3559	3646
494	3566	3638
495	3573	3630
496	3580	3623
497	3587	3615
498	3594	3608
499	3601	3601
500	3607	3593
501	3614	3585
502	3621	3578
503	3627	3570
504	3634	3562
505	3641	3555
506	3648	3548
507	3655	3540
508	3663	3534
509	3671	3527
510	3678	3519
511	3685	3512
512	3692	3505
513	3699	3498
514	3706	3490
515	3713	3483
516	3720	3475
517	3727	3468
518	3734	3461
519	3741	3453
520	3749	3446
521	3755	3439
522	3762	3431
523	3769	3424
524	3776	3416
525	3783	3409
526	3790	3402
527	3798	3395
528	3804	3387
529	3811	3380
530	3818	3372
531	3825	3365
532	3832	3357
533	3839	3350
534	3846	3343
535	3854	3336
536	3861	3329
537	3868	3321
538	3875	3314
539	3882	3307
540	3890	3300
541	3896	3292
542	3903	3285
543	3910	3277
544	3917	3270
545	3925	3263
546	3932	3256
547	3939	3249
548	3945	3241
549	3957	3237
550	3964	3230
551	3971	3223
552	3978	3216
553	3985	3208
554	3992	3201
555	3998	3193
556	4006	3186
557	4012	3178
558	4020	3171
559	4026	3164
560	4033	3156
561	4040	3148
562	4047	3141
563	4054	3134
564	4062	3127
565	4069	3120
566	4075	3112
567	4083	3105
568	4089	3097
569	4096	3090
570	4102	3082
571	4109	3075
572	4116	3067
573	4123	3060
574	4130	3052
575	4136	3044
576	4143	3037
577	4149	3029
578	4157	3022
579	4164	3015
580	4172	3008
581	4179	3001
582	4186	2994
583	4192	2986
584	4198	2978
585	4206	2971
586	4213	2964
587	4221	2957
588	4228	2950
589	4234	2942
590	4241	2935
591	4248	2927
592	4255	2920
593	4262	2913
594	4270	2906
595	4276	2898
596	4283	2891
597	4290	2884
598	4296	2876
599	4304	2869
600	4310	2862
601	4317	2854
602	4324	2847
603	4331	2839
604	4338	2832
605	4344	2824
606	4352	2817
607	4359	2810
608	4366	2803
609	4373	2796
610	4380	2789
611	4387	2781
612	4394	2774
613	4401	2766
614	4407	2759
615	4415	2752
616	4422	2745
617	4429	2737
618	4436	2730
619	4442	2723
620	4449	2715
621	4457	2708
622	4465	2702
623	4471	2694
624	4479	2687
625	4485	2680
626	4492	2672
627	4499	2665
628	4506	2657
629	4513	2650
630	4519	2643
631	4526	2635
632	4533	2628
633	4540	2620
634	4547	2613
635	4555	2607
636	4562	2599
637	4569	2592
638	4576	2585
639	4583	2578
640	4589	2570
641	4596	2563
642	4603	2555
643	4609	2548
644	4616	2540
645	4623	2533
646	4630	2526
647	4637	2519
648	4644	2511
649	4650	2504
650	4658	2497
651	4665	2490
652	4673	2483
653	4680	2475
654	4686	2468
655	4693	2461
656	4701	2454
657	4708	2447
658	4715	2440
659	4722	2432
660	4728	2425
661	4735	2418
662	4742	2410
663	4749	2403
664	4756	2396
665	4763	2389
666	4772	2382
667	4779	2375
668	4786	2368
669	4793	2360
670	4800	2353
671	4807	2346
672	4814	2339
673	4820	2331
674	4827	2324
675	4834	2317
676	4841	2309
677	4848	2302
678	4855	2295
679	4862	2288
680	4869	2280
681	4876	2273
682	4883	2266
683	4890	2259
684	4897	2252
685	4904	2245
686	4911	2237
687	4918	2230
688	4925	2223
689	4933	2216
690	4940	2209
691	4947	2202
692	4954	2194
693	4962	2187
694	4970	2181
695	4978	2174
696	4985	2167
697	4992	2160
698	5000	2153
699	5007	2146
700	5014	2139
701	5022	2132
702	5030	2125
703	5038	2118
704	5046	2111
705	5054	2104
706	5062	2098
707	5070	2091
708	5078	2084
709	5085	2077
710	5092	2070
711	5099	2062
712	5106	2055
713	5113	2048
714	5119	2040
715	5125	2033
716	5132	2025
717	5144	2020
718	5151	2013
719	5159	2006
720	5167	1999
721	5174	1992
722	5182	1985
723	5190	1978
724	5197	1971
725	5205	1964
726	5211	1956
727	5217	1949
728	5224	1942
729	5231	1934
730	5238	1927
731	5244	1920
732	5252	1913
733	5258	1905
734	5264	1898
735	5271	1890
736	5278	1883
737	5285	1876
738	5292	1869
739	5299	1861
740	5305	1854
741	5313	1847
742	5320	1840
743	5327	1833
744	5333	1825
745	5340	1818
746	5347	1811
747	5354	1803
748	5360	1796
749	5368	1789
750	5376	1782
751	5384	1775
752	5391	1768
753	5398	1761
754	5405	1754
755	5412	1746
756	5418	1739
757	5425	1732
758	5432	1724
759	5438	1717
760	5445	1710
761	5452	1703
762	5458	1695
763	5465	1688
764	5472	1681
765	5480	1674
766	5487	1666
767	5493	1659
768	5500	1652
769	5507	1645
770	5514	1637
771	5521	1630
772	5527	1623
773	5534	1615
774	5541	1608
775	5547	1601
776	5555	1594
777	5560	1586
778	5567	1579
779	5574	1572
780	5581	1565
781	5589	1558
782	5595	1550
783	5602	1543
784	5608	1536
785	5614	1528
786	5621	1521
787	5628	1514
788	5635	1507
789	5642	1499
790	5649	1492
791	5655	1485
792	5661	1477
793	5666	1470
794	5672	1462
795	5680	1455
796	5687	1448
797	5694	1441
798	5700	1434
799	5707	1426
800	5712	1419
801	5717	1411
802	5723	1404
803	5729	1396
804	5735	1389
805	5742	1382
806	5748	1374
807	5754	1367
808	5761	1360
809	5768	1353
810	5775	1345
811	5781	1338
812	5788	1331
813	5795	1324
814	5801	1317
815	5806	1309
816	5813	1302
817	5819	1294
818	5827	1287
819	5835	1280
820	5840	1273
821	5847	1266
822	5852	1258
823	5857	1251
824	5864	1243
825	5871	1236
826	5877	1229
827	5884	1222
828	5892	1215
829	5899	1208
830	5905	1201
831	5911	1193
832	5918	1186
833	5925	1179
834	5932	1172
835	5939	1165
836	5946	1157
837	5953	1150
838	5959	1143
839	5965	1136
840	5972	1129
841	5979	1121
842	5985	1114
843	5994	1107
844	6000	1100
845	6007	1093
846	6014	1086
847	6021	1079
848	6028	1072
849	6035	1065
850	6042	1057
851	6048	1050
852	6056	1043
853	6061	1036
854	6068	1029
855	6074	1021
856	6081	1014
857	6088	1007
858	6095	1000
859	6100	993
860	6106	985
861	6113	978
862	6119	971
863	6127	964
864	6134	957
865	6139	950
866	6147	943
867	6153	935
868	6159	928
869	6165	921
870	6172	914
871	6178	906
872	6183	899
873	6191	892
874	6198	885
875	6205	878
876	6211	871
877	6216	863
878	6223	856
879	6229	849
880	6236	842
881	6243	835
882	6250	828
883	6255	820
884	6261	813
885	6268	806
886	6275	799
887	6282	792
888	6289	785
889	6296	778
890	6304	771
891	6310	764
892	6318	757
893	6325	749
894	6331	742
895	6338	735
896	6345	728
897	6352	721
898	6358	714
899	6366	707
900	6373	700
901	6379	693
902	6386	686
903	6392	678
904	6398	671
905	6405	664
906	6412	657
907	6419	650
908	6426	643
909	6433	636
910	6439	629
911	6446	622
912	6453	614
913	6459	607
914	6467	600
915	6475	593
916	6481	586
917	6486	579
918	6493	572
919	6500	565
920	6507	558
921	6513	551
922	6521	544
923	6528	536
924	6535	529
925	6542	522
926	6549	515
927	6556	508
928	6563	501
929	6570	494
930	6576	487
931	6582	480
932	6588	473
933	6594	465
934	6601	458
935	6608	451
936	6614	444
937	6621	437
938	6629	430
939	6636	423
940	6643	416
941	6649	409
942	6656	402
943	6662	395
944	6668	388
945	6676	381
946	6683	374
947	6688	366
948	6696	359
949	6701	352
950	6708	345
951	6716	338
952	6723	331
953	6729	324
954	6737	317
955	6742	310
956	6748	303
957	6755	296
958	6762	289
959	6768	282
960	6774	274
